url,title,price,address,area,floor,year,metro_name,metro_time,house_type,_error,lat,lon,schools_count_800m,clinics_count_800m,kindergartens_count_800m
https://www.cian.ru/sale/flat/318086389/,"Продается 2-комн. квартира, 49,2 м²",19 158 480 ₽,"Москва, СВАО, р-н Алтуфьевский, Алтуфьевское 53 жилой комплекс, 1.1","49,2 м²",10 из 22,,Отрадное,23 мин.,Монолитный,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/318867170/,"Продается 3-комн. квартира, 74,1 м²",33 900 000 ₽,"Москва, САО, р-н Хорошевский, Хорошевское ш., 48","74,1 м²",9 из 17,1988.0,Беговая,9 мин.,Панельный,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/320687564/,,,,,,,,,,,29.3644727,112.3905651,1,2,0
https://www.cian.ru/sale/flat/322916667/,"Продается 2-комн. квартира, 75 м²",27 500 000 ₽,"Москва, САО, р-н Ховрино, Клинская ул., 2Ак7",75 м²,23 из 31,,Грачёвская,3 мин.,,,55.865831481,37.504164108,4,2,9
https://www.cian.ru/sale/flat/322076859/,"Продается 4-комн. квартира, 129 м²",140 943 169 ₽,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/3",129 м²,40 из 41,,Аэропорт,13 мин.,Монолитный,,55.793656,37.545088,4,7,3
https://www.cian.ru/sale/flat/322015012/,"Продается 1-комн. квартира, 39 м²",11 000 000 ₽,"Москва, СВАО, р-н Алтуфьевский, Стандартная ул., 23К1",39 м²,13 из 14,2005.0,Бескудниково,5 мин.,Панельный,,55.883068,37.578999,2,1,4
https://www.cian.ru/sale/flat/322077039/,"Продается 4-комн. квартира, 155 м²",137 229 469 ₽,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/1",155 м²,30 из 41,,ЦСКА,11 мин.,Монолитный,,55.804695133427806,37.516297130230214,9,5,8
https://www.cian.ru/sale/flat/319192435/,"Продается 3-комн. квартира, 62,2 м²",19 500 000 ₽,"Москва, СВАО, р-н Алтуфьевский, Алтуфьевское ш., 62Б","62,2 м²",2 из 12,1979.0,Бибирево,10 мин.,Панельный,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/322076845/,"Продается 2-комн. квартира, 177,7 м²",210 876 186 ₽,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/4","177,7 м²",35 из 40,,ЦСКА,11 мин.,Монолитный,,55.793239,37.540464,3,6,2
https://www.cian.ru/sale/flat/323171928/,"Продается 2-комн. квартира, 52,2 м²",16 200 000 ₽,"Москва, СВАО, р-н Алтуфьевский, Инженерная ул., 15","52,2 м²",12 из 14,1993.0,Бескудниково,3 мин.,Панельный,,55.879355700000005,37.571185144736695,6,1,7
https://www.cian.ru/sale/flat/322461256/,"Продается 2-комн. квартира, 67,4 м²",21 905 000 ₽,"Москва, СВАО, р-н Алтуфьевский, Алтуфьевское 53 жилой комплекс, 1.1","67,4 м²",28 из 32,,Отрадное,23 мин.,Монолитный,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/322461272/,"Продается 1-комн. квартира, 34,4 м²",14 465 200 ₽,"Москва, СВАО, р-н Алтуфьевский, Алтуфьевское 53 жилой комплекс, 1.1","34,4 м²",22 из 32,,Отрадное,23 мин.,Монолитный,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/323602301/,"Продается 3-комн. квартира, 126,4 м²",48 682 241 ₽,"Москва, СВАО, р-н Алексеевский, Староалексеевская ул., 5А","126,4 м²",23 из 27,,Алексеевская,10 мин.,,,55.810518,37.645057,7,4,11
https://www.cian.ru/sale/flat/310197270/,"Продается 2-комн. квартира, 53,2 м²",17 900 000 ₽,"Москва, СВАО, р-н Алексеевский, ул. Космонавтов, 4","53,2 м²",7 из 9,1965.0,ВДНХ,5 мин.,Кирпичный,,55.92009535,37.86592301842797,5,5,7
https://www.cian.ru/sale/flat/323768156/,"Продается 3-комн. квартира, 57 м²",22 500 000 ₽,"Москва, СВАО, р-н Алексеевский, Графский пер., 12",57 м²,2 из 5,1967.0,Алексеевская,9 мин.,Кирпичный,,55.80294,37.640634,7,2,6
https://www.cian.ru/sale/flat/323751615/,"Продается 2-комн. квартира, 49,9 м²",19 000 000 ₽,"Москва, СВАО, р-н Алексеевский, ул. Касаткина, 16","49,9 м²",5 из 9,1967.0,ВДНХ,18 мин.,Кирпичный,,55.8238987,37.6625056,4,7,7
https://www.cian.ru/sale/flat/322251789/,"Продается 2-комн. квартира, 51 м²",18 000 000 ₽,"Москва, САО, р-н Ховрино, Петрозаводская ул., 13К1",51 м²,15 из 16,1973.0,Беломорская,13 мин.,Панельный,,55.863824985,37.502413224,5,2,11
